index,dim1,dim2,cluster
101,-34.0057,-46.9973,3
102,-36.1632,-46.8575,3
103,-33.6707,-47.6741,3
104,-34.6819,-48.9346,3
105,-32.8715,-25.8808,3
106,-35.1441,-53.7878,3
107,-31.5415,-48.7038,3
108,-37.4667,-40.2353,3
109,-38.9771,-49.599,3
110,-35.743,-29.3003,3
111,-36.3733,-44.0479,3
112,-42.6554,-46.6553,3
113,-44.0156,-44.5944,3
114,-35.4269,-44.5986,3
115,-41.6296,-46.0082,3
116,-37.835,-41.8925,3
117,-33.7641,-38.0089,3
118,-35.6715,-38.842,3
119,-34.3473,-36.3006,3
120,-28.4388,-16.5644,4
121,-28.8658,-16.5169,4
122,-30.3221,-1.13121,4
123,-68.4359,65.2035,0
124,-68.9724,67.9245,0
125,-68.2084,65.1255,0
126,-27.9417,-25.124,4
127,-28.7257,-23.3933,4
128,-27.5219,-26.9291,4
129,-72.307,55.6559,0
130,-78.2638,67.5953,0
131,-73.3495,55.1648,0
132,-29.3544,-10.1278,4
133,-40.1114,-0.56571,4
134,64.983,22.7269,5
135,71.3409,12.7558,1
136,-68.0063,68.4368,0
137,-68.2097,65.7838,0
138,-70.3674,75.2677,0
139,-72.2743,61.8434,0
140,-69.4479,77.7211,0
141,-78.7483,79.0254,0
142,28.8287,41.2377,2
143,26.2654,39.5085,2
144,-60.1719,79.6461,2
145,-64.0332,83.6572,2
146,-41.1578,40.5909,2
147,-41.4738,35.4308,2
148,-30.1017,-33.3109,6
149,-11.7792,-25.136,6
150,-29.4602,-39.3945,6
151,-28.0704,-34.9953,6
152,-30.9261,-35.9762,6
153,-20.0557,-41.0918,6
154,-26.3394,-30.4463,6
155,-29.0599,-30.3583,6
156,-15.456,-35.0246,6
157,-15.6803,-31.9023,6
158,-14.6076,-23.3542,6
159,-7.48651,-35.3262,6
160,-12.6089,-26.395,6
161,-27.9105,-31.8377,6
162,-24.7032,-35.0462,6
163,-85.0094,83.1913,0
164,-81.2249,88.3046,0
165,-80.5417,78.2092,0
166,-83.3178,83.7861,0
167,-85.0094,83.1913,0
168,-80.5417,78.2092,0
169,-83.3178,83.7861,0
170,-81.2249,88.3046,0
171,-78.1206,85.4834,0
172,-80.5918,87.5176,0
173,-78.7332,95.4588,0
174,-83.2682,91.8836,0
175,24.412,-7.96181,1
176,53.3685,-5.20748,1
177,49.9019,-13.7172,1
178,40.8199,-14.4245,1
179,37.1521,-10.9835,1
180,89.0617,10.3797,5
181,79.6084,-1.40195,5
182,99.8262,6.9718,5
183,-30.3577,-58.4798,3
184,-24.9298,-51.7267,3
185,-39.6733,-44.6271,3
186,-43.9633,-36.273,3
187,-45.4841,-24.4161,3
188,-51.8982,-22.0163,3
